trade_date,stock_code,stock_name,close,industry,price_change_rate,max_profit,max_loss,MA_all_cv,all_cv_vs_15,all_cv_vs_15_ema_3d,all_cv_count,all_cv_count_5D_max,all_cv_count_5D_min,MA_most_cv,most_cv_vs_15,most_cv_vs_15_ema_3d,most_cv_count,most_cv_count_5D_max,most_cv_count_5D_min,MA_alignment,MA_all_ema_3d_cont,MA_most_ema_3d_cont,DIF,dif_close,rate_sum,rate_per_ema_3d,rate_per_ema_count,sum_rate_per_ema_3d
2025-01-07,000506.SZ,招金黄金,3.57,黄金,-4.03,17.127,11.878,73.82,3.8,4.17,0,0.0,-5.0,47.88,4.02,4.52,0,0.0,-4.0,0,0,0,0.1468,4.112,419.7,3.83,1,21.57
2025-01-24,000506.SZ,招金黄金,3.89,黄金,-2.51,18.414,7.417,51.36,2.64,2.84,0,0.0,0.0,32.23,2.71,3.04,0,0.0,0.0,0,0,0,0.1434,3.6864,278.94,-9.52,-5,-31.72
2025-02-06,000506.SZ,招金黄金,4.16,黄金,1.22,16.905,7.381,41.95,2.16,2.31,0,0.0,0.0,19.01,1.6,1.95,0,0.0,0.0,0,0,0,0.1315,3.1611,266.07,-1.71,-8,-32.55
2025-02-17,000506.SZ,招金黄金,4.76,黄金,-3.05,18.8,8.8,86.05,4.43,4.07,0,0.0,0.0,60.7,5.1,4.56,0,0.0,0.0,6,7,7,0.2636,5.5378,478.27,7.91,6,50.96
2025-04-07,000506.SZ,招金黄金,5.41,黄金,-4.92,18.872,8.366,52.24,2.69,2.75,0,0.0,0.0,14.58,1.23,1.22,0,4.0,0.0,0,3,3,0.1158,2.1405,324.04,0.47,0,32.29
2025-05-27,000506.SZ,招金黄金,7.49,黄金,-1.45,20.054,-0.808,77.07,3.97,4.04,0,0.0,0.0,34.97,2.94,3.28,0,0.0,0.0,28,28,28,0.3465,4.6262,239.56,0.96,0,-16.81
2025-04-03,000507.SZ,珠海港,5.17,新型电力,1.57,16.953,14.807,21.18,3.28,3.64,0,0.0,0.0,17.1,3.55,4.11,0,0.0,-6.0,0,0,0,0.0606,1.1721,359.41,-16.43,-7,-76.56
2025-05-09,000507.SZ,珠海港,5.21,新型电力,-1.14,16.221,8.397,17.64,2.73,2.84,0,0.0,0.0,11.23,2.33,2.04,0,0.0,0.0,0,0,0,0.0168,0.3225,206.62,-13.48,-6,-58.97
2025-04-03,000510.SZ,新金路,4.11,化工原料,-0.48,25.135,3.514,31.75,1.97,2.04,0,0.0,0.0,14.42,1.49,1.69,0,0.0,0.0,0,0,0,0.0698,1.6983,388.44,-4.89,-3,-11.37
2025-04-15,000510.SZ,新金路,5.09,化工原料,9.94,25.208,12.917,35.67,2.21,1.88,0,0.0,0.0,21.98,2.27,2.1,0,0.0,0.0,0,2,2,0.1262,2.4794,681.42,17.64,1,37.59
